"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"10","0.6308486633660162","0.9862383008003235","117.33624227685867","165.5220612382467","0.985023021697998","132.87669462316177","156.46133827952158","0.9829230308532715","108.64241855596406","160.76243712838775","0.9047210812568665","142.2717524509804","170.5971776911643","0.7952835559844971","86.3031045751634","167.3271894876936","0.9937732219696045","173.4131018944036","236.3597822611311","0.9784098267555237","77.70388933568219","221.6625058334486","0.968238353729248","211.28689236111111","309.2598542069967","0.9673499464988708","28.961957545062297","255.22965962907912","0.40513285994529724","200.87490106719773","342.21708854742815","0.9019392728805542","60.042465309691586","172.82493928892424","0.3709491193294525","186.87843073427288","341.2997463530144","0.35905027389526367","92.55462845945671","353.34102124239496","0.05525698512792587","168.31541373059642","345.5415708828817","0.03623766079545021","79.55702039930556","263.6062324996543","0.01884409785270691","165.786212597018","329.31440775373346","0.015056667849421501","82.61463439542484","229.59207450394084"
"11","0.633627467953107","0.9863929152488708","116.85787026399102","165.9629565213634","0.9863021969795227","131.98092990451389","156.1673000639519","0.9841333627700806","108.45196493310867","161.30057275822733","0.9044947624206543","141.6943838082108","170.94572624274062","0.7993255257606506","86.44058127808415","167.68652991910952","0.9942196607589722","173.1262925091912","236.1459377592644","0.9799356460571289","79.05697891135621","222.1873217557384","0.9685676097869873","210.82356770833334","309.1320692754425","0.967451810836792","26.954704733455884","257.55644401617815","0.4093259572982788","200.33217486213238","342.83141549709626","0.901137113571167","59.58824008118873","173.31070351389658","0.3896837830543518","186.9315353094363","340.97705942339604","0.37656334042549133","94.11663379544527","353.05278406733964","0.054980453103780746","168.33524816176472","346.5012055793695","0.03646751493215561","79.69610077103759","263.2594501866704","0.018226079642772675","165.57824627246734","330.1027335107854","0.014459222555160522","82.61128344566994","229.64682790030423"
"12","0.637108189656454","0.9870255589485168","116.83525933159723","164.1802708448562","0.9859541058540344","132.12408726511438","156.15193864940542","0.9849490523338318","108.3697390088848","160.26852227945244","0.9102659821510315","142.08630131740196","170.44061441337115","0.7953466176986694","85.6930881076389","167.35854427371407","0.9933307766914368","173.6160737081291","235.21958612762722","0.9794119000434875","79.15804196027369","221.81443476043972","0.9650881290435791","212.74953405841504","308.49751970409295","0.9691193699836731","28.104475432751226","258.2325893165791","0.46343114972114563","200.87759778390523","341.669651807937","0.9012354612350464","60.24844499974469","173.93869045561397","0.3853641450405121","185.5112272773693","341.5869464705476","0.38117507100105286","93.96525862949348","352.7092263550885","0.057601235806941986","168.34188623366015","345.64660536504425","0.036520857363939285","59.78186912785948","267.032200636062","0.020916961133480072","165.27270348243465","329.46163751382744","0.01410285010933876","91.87527126736111","229.5363974782218"
"13","0.6417698264669847","0.9853888154029846","117.15170866523694","166.0880515849696","0.9851166009902954","131.84273514093138","156.53155031457413","0.983885645866394","108.4893679151348","160.4158168556416","0.918434202671051","141.7246380974265","171.10512522469583","0.8043337464332581","86.85960956648285","166.88431731367535","0.993786096572876","172.65497344771242","235.19775930759127","0.9792409539222717","79.27805383220998","220.6107836698009","0.9676578044891357","211.86215469260623","307.7291897123894","0.9696569442749023","25.477476431653393","257.51813770395466","0.44913357496261597","200.42596954146242","342.23209347345136","0.8994272351264954","61.16707995046978","173.28911975421738","0.4305317997932434","162.17119204452615","344.76193048257744","0.40554219484329224","93.43083001429738","352.59531206789273","0.06385064870119095","167.96099494485296","346.3859301541759","0.03806641697883606","79.79198580473857","263.52226324840984","0.02181965671479702","165.30546300551472","329.7435875276549","0.0142147121950984","74.96633093341504","251.6516977495852"
"14","0.6373490408501205","0.9866787791252136","117.30489493974675","165.66839977703265","0.9861704707145691","132.2341819214665","156.73863773852324","0.9844826459884644","107.97513276143792","160.3364009350802","0.9140296578407288","141.16348166870915","170.96721277827712","0.7891218066215515","85.26624891493056","166.5691328470686","0.9931875467300415","172.91041156045753","235.77138174951605","0.9798069000244141","78.01964454401553","220.64463387548398","0.9669227600097656","211.33050257863565","308.05450169386063","0.9681777954101562","27.317887848498778","256.43425055309734","0.4575049579143524","202.6486066431781","341.3667337873341","0.9001980423927307","60.59638528262868","172.28699810737004","0.39206644892692566","162.27103439031865","344.47340163509404","0.3843366205692291","92.9965389476103","352.34820070519913","0.05849310755729675","157.75448069852942","346.68823242187506","0.03781786188483238","58.69550717422386","267.2421399681969","0.02186274528503418","165.12807010825165","328.99165600801996","0.014075547456741333","75.37341547947304","251.2712110671322"
"15","0.6386554379235295","0.9863837361335754","117.52674377042484","165.773677319552","0.9852193593978882","132.37698025173611","156.73938312361727","0.9844667911529541","108.38988459967321","160.42871525857302","0.9088597893714905","141.61948210273692","170.69001054341817","0.8073365092277527","85.61634337979984","166.50885387859515","0.9937543869018555","173.11004838133172","235.58923231816928","0.9809668064117432","77.7957213158701","221.0567994244331","0.9657881259918213","210.89154411764707","308.57964169662614","0.9676135778427124","25.17703985077104","256.29907658669805","0.4372507333755493","200.22362004697715","341.87735498478986","0.9126306772232056","60.36462721481822","172.53503309941925","0.41023069620132446","162.164936938317","344.21034551299783","0.3828166723251343","92.30890012254902","351.7902637582965","0.061290040612220764","157.555561938317","346.52706720132744","0.037556666880846024","80.51526437397877","263.27547596619195","0.022076016291975975","165.00923904718138","329.3486954680587","0.012901859357953072","75.18177306729984","252.26156859271296"
"16","0.640959310126217","0.9868142604827881","117.14241376889298","165.5864236207135","0.9860183000564575","132.36699920853758","156.4207634039685","0.9836738109588623","108.30529705371733","160.66289581028764","0.9116167426109314","141.90356285743465","170.7727482888551","0.7984218597412109","85.997354345384","167.1376186134541","0.9938139915466309","173.1781364889706","236.18328803408465","0.9801452159881592","77.36977570976308","221.4261863505946","0.9659159183502197","209.68440436070262","308.78225681001106","0.9678640365600586","27.46576446333742","258.05654880219856","0.4943128228187561","199.8334258833742","340.55455570727327","0.9182557463645935","60.69356681474674","174.83294191613663","0.4079965353012085","187.61011859170753","340.15097829092923","0.3709995448589325","93.41750599979575","352.2643286780974","0.058785077184438705","157.28154998978758","346.88656967298124","0.03616195544600487","59.067693972120104","266.88109811428376","0.021897433325648308","181.3706341911765","333.8597984651549","0.013615020550787449","92.13154711754494","229.70195398921462"
"17","0.6404779431245783","0.9881002902984619","117.3379496655433","165.49524357888552","0.9871612191200256","132.17145533343546","156.51194344579648","0.9840958118438721","108.45904979830475","160.98052708448563","0.9132421612739563","142.9157411662582","170.43432725214328","0.8101494908332825","85.74364755667892","166.5794386061947","0.9943128824234009","173.58570772058823","235.4563917311947","0.9799480438232422","77.93476179534314","221.53514220651275","0.9646007418632507","210.58587367238565","308.9518805309735","0.9668233394622803","24.93350957733354","257.36230360723175","0.46222931146621704","201.54547398386438","341.4598421079923","0.9115568399429321","60.81989762050654","171.62422112659016","0.414413183927536","187.00908586090688","340.0640923154038","0.37854424118995667","93.48272186478759","352.15430335660955","0.06238095834851265","168.72212328941995","346.27652058559187","0.03596720099449158","80.52139182495915","263.4478543711975","0.021074363961815834","165.68919462316177","328.8136710107854","0.013524952344596386","74.75166270935458","251.21713823976773"
"18","0.6359688067151343","0.9861424565315247","117.75072284773285","165.4501477806969","0.9867796301841736","132.02866498161765","156.48810732681142","0.9846429824829102","109.45645999285131","160.93849384679206","0.90379798412323","143.26703239889707","169.67683775235068","0.8275150656700134","86.6726824193219","166.89828518217647","0.9946199655532837","173.71941061580884","235.27565204991706","0.9454522132873535","78.58788583792892","217.70177250414824","0.9669504165649414","210.3116223703023","308.5450947179204","0.9655173420906067","24.63846443525327","258.2085101372373","0.43013817071914673","201.01608775020426","342.3446142146018","0.907177746295929","58.71809018203636","172.29905390106472","0.40745437145233154","187.05642999387257","340.9508089048673","0.37879395484924316","93.28231113408906","352.7287359997235","0.05689669027924538","169.36122919219773","346.52324305171464","0.03404943272471428","58.605897192861526","267.94401725836565","0.02113594487309456","166.7809819240196","329.72945761891594","0.014405346475541592","61.38993406607435","252.01567253180312"
"19","0.635012867696145","0.9853861331939697","119.0179882174224","165.19446448942202","0.9854516386985779","132.62463139552696","156.74079287368642","0.9849066734313965","109.82463362949348","161.09636965051163","0.9037327170372009","143.9463177849265","168.87553257224835","0.8198322057723999","86.62056717218138","166.81050798534292","0.9942916631698608","173.76239851409315","236.15823661331584","0.954197883605957","79.34512069801879","218.41705052198563","0.9657127857208252","211.29321129493465","308.84590621543146","0.9647307395935059","26.171976725260418","257.2777348071073","0.45378148555755615","201.60173802593957","341.2825376797567","0.8930059671401978","59.11639843111724","168.8912018632467","0.406497985124588","161.7389035692402","343.21347396985624","0.36346620321273804","94.0774516186683","353.11539641523785","0.05578378215432167","169.25428602430557","346.8946068687777","0.03200438991189003","95.77509063521242","345.5095517318861","0.019158123061060905","165.87054483251634","329.7868846792036","0.013278374448418617","92.80322903901144","227.67521951050887"
